date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,27,16,0.0,14.5,6,31,09:59 AM,10:56 PM,05:38 AM,08:00 PM,13,21,21,21,18,12,63,0.0,1012,27,10,257,9,bellville-south-weather
2009-01-02,23,14,0.0,12.4,4,38,10:58 AM,11:22 PM,05:39 AM,08:00 PM,13,19,20,19,19,32,73,1.0,1014,23,9,309,11,bellville-south-weather
2009-01-03,23,14,0.0,13.4,4,45,11:57 AM,11:49 PM,05:40 AM,08:00 PM,13,19,20,19,17,31,68,0.5,1015,23,8,250,10,bellville-south-weather
2009-01-04,27,16,0.0,14.5,6,52,12:59 PM,No moonset,05:41 AM,08:00 PM,13,22,22,22,20,13,63,0.0,1015,27,10,144,12,bellville-south-weather
2009-01-05,29,18,0.0,13.4,5,60,02:04 PM,12:18 AM,05:41 AM,08:00 PM,15,24,24,23,18,23,62,0.0,1011,29,10,209,9,bellville-south-weather
2009-01-06,28,19,0.0,12.3,5,67,03:13 PM,12:52 AM,05:42 AM,08:00 PM,17,24,24,23,13,49,72,0.0,1010,28,9,193,7,bellville-south-weather
2009-01-07,29,17,0.0,14.5,6,74,04:25 PM,01:33 AM,05:43 AM,08:00 PM,14,23,23,23,20,10,64,0.0,1008,29,9,258,11,bellville-south-weather
2009-01-08,27,15,0.0,14.5,6,82,05:37 PM,02:22 AM,05:44 AM,08:00 PM,12,20,21,20,26,13,62,0.0,1010,27,10,304,16,bellville-south-weather
2009-01-09,23,15,0.0,11.3,4,89,06:44 PM,03:22 AM,05:45 AM,08:00 PM,14,19,20,19,29,55,74,2.6,1013,23,9,256,17,bellville-south-weather
2009-01-10,27,14,0.0,14.5,6,96,07:43 PM,04:31 AM,05:46 AM,08:00 PM,13,21,21,21,27,9,68,0.0,1015,27,8,136,16,bellville-south-weather
2009-01-11,32,17,0.0,14.5,6,100,08:31 PM,05:47 AM,05:47 AM,08:00 PM,13,25,25,24,18,2,57,0.0,1010,32,10,152,9,bellville-south-weather
2009-01-12,29,18,0.0,14.5,6,89,09:12 PM,07:03 AM,05:48 AM,08:00 PM,16,24,24,23,17,10,66,0.0,1011,29,10,151,9,bellville-south-weather
2009-01-13,27,16,0.0,14.5,6,82,09:47 PM,08:16 AM,05:48 AM,08:00 PM,15,21,22,21,22,17,73,0.0,1012,27,9,302,14,bellville-south-weather
2009-01-14,26,15,0.0,14.5,6,75,10:17 PM,09:26 AM,05:49 AM,08:00 PM,13,20,21,20,29,32,71,0.0,1018,26,8,164,17,bellville-south-weather
2009-01-15,29,14,0.0,14.1,6,68,10:45 PM,10:31 AM,05:50 AM,07:59 PM,11,21,21,21,26,6,62,0.0,1015,29,10,190,15,bellville-south-weather
2009-01-16,28,16,0.0,14.1,6,60,11:14 PM,11:34 AM,05:51 AM,07:59 PM,12,21,21,21,31,9,65,0.0,1014,28,10,157,18,bellville-south-weather
2009-01-17,26,15,0.0,14.1,5,53,11:43 PM,12:35 PM,05:52 AM,07:59 PM,11,20,20,20,33,4,63,0.0,1016,26,10,161,18,bellville-south-weather
2009-01-18,28,13,0.0,14.1,6,46,No moonrise,01:36 PM,05:53 AM,07:58 PM,12,20,21,20,33,4,66,0.0,1016,28,10,149,20,bellville-south-weather
2009-01-19,29,15,0.0,14.0,6,38,12:14 AM,02:35 PM,05:54 AM,07:58 PM,11,21,21,21,36,3,63,0.0,1016,29,10,131,22,bellville-south-weather
2009-01-20,34,15,0.0,14.0,6,31,12:49 AM,03:35 PM,05:55 AM,07:58 PM,11,24,24,24,24,0,55,0.0,1010,34,10,122,13,bellville-south-weather
