date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,25,17,0.0,13.9,6,31,09:28 AM,10:15 PM,05:20 AM,07:05 PM,17,21,22,21,20,35,80,5.1,1012,25,8,172,10,lawley-south-weather
2009-01-02,28,18,0.0,13.3,5,38,10:21 AM,10:45 PM,05:20 AM,07:06 PM,16,23,23,22,16,41,73,16.2,1012,28,9,181,9,lawley-south-weather
2009-01-03,29,17,0.0,13.9,6,45,11:16 AM,11:16 PM,05:21 AM,07:06 PM,15,22,22,22,21,28,69,6.6,1013,29,10,210,11,lawley-south-weather
2009-01-04,31,16,0.0,13.8,6,52,12:13 PM,11:50 PM,05:22 AM,07:06 PM,11,23,23,23,19,5,51,0.0,1011,31,9,226,10,lawley-south-weather
2009-01-05,26,16,0.0,12.2,5,60,01:14 PM,No moonset,05:22 AM,07:06 PM,15,21,22,21,27,27,68,5.9,1012,26,10,201,14,lawley-south-weather
2009-01-06,28,17,0.0,13.8,5,67,02:18 PM,12:28 AM,05:23 AM,07:06 PM,16,23,23,23,22,16,67,0.1,1012,28,9,295,11,lawley-south-weather
2009-01-07,31,18,0.0,13.3,5,74,03:27 PM,01:12 AM,05:24 AM,07:06 PM,16,25,25,24,15,16,61,0.9,1011,31,10,217,6,lawley-south-weather
2009-01-08,30,19,0.0,13.8,5,82,04:36 PM,02:05 AM,05:25 AM,07:06 PM,16,25,25,24,13,21,60,1.3,1013,30,10,103,7,lawley-south-weather
2009-01-09,27,18,0.0,12.2,5,89,05:44 PM,03:06 AM,05:25 AM,07:07 PM,16,23,23,22,15,49,69,7.5,1013,27,10,194,8,lawley-south-weather
2009-01-10,22,18,0.0,8.6,4,96,06:44 PM,04:15 AM,05:26 AM,07:07 PM,18,20,20,20,14,71,91,22.9,1012,22,7,156,6,lawley-south-weather
2009-01-11,23,17,0.0,12.2,4,100,07:37 PM,05:27 AM,05:27 AM,07:07 PM,18,20,20,20,14,67,93,2.8,1011,23,7,95,6,lawley-south-weather
2009-01-12,23,18,0.0,8.6,4,89,08:22 PM,06:39 AM,05:28 AM,07:07 PM,19,20,20,20,15,82,95,34.5,1011,23,6,308,6,lawley-south-weather
2009-01-13,26,16,0.0,11.0,5,82,09:02 PM,07:48 AM,05:29 AM,07:07 PM,17,21,21,21,13,44,78,7.0,1011,26,8,294,6,lawley-south-weather
2009-01-14,27,16,0.0,13.3,5,75,09:37 PM,08:52 AM,05:29 AM,07:07 PM,16,22,22,22,17,33,71,0.2,1011,27,8,155,7,lawley-south-weather
2009-01-15,27,17,0.0,13.3,5,68,10:10 PM,09:53 AM,05:30 AM,07:06 PM,15,21,22,21,21,20,69,0.1,1013,27,10,66,10,lawley-south-weather
2009-01-16,27,16,0.0,13.3,5,60,10:43 PM,10:51 AM,05:31 AM,07:06 PM,16,23,23,23,12,25,63,0.8,1012,27,9,208,5,lawley-south-weather
2009-01-17,29,20,0.0,13.7,5,53,11:16 PM,11:48 AM,05:32 AM,07:06 PM,16,25,25,24,10,14,58,0.1,1010,29,10,205,5,lawley-south-weather
2009-01-18,25,19,0.0,9.8,5,46,11:51 PM,12:44 PM,05:32 AM,07:06 PM,17,21,22,21,15,50,79,8.6,1011,25,9,228,7,lawley-south-weather
2009-01-19,28,18,0.0,13.3,5,38,No moonrise,01:41 PM,05:33 AM,07:06 PM,17,23,23,22,19,43,77,0.9,1012,28,9,231,10,lawley-south-weather
2009-01-20,26,17,0.0,12.1,5,31,12:29 AM,02:36 PM,05:34 AM,07:06 PM,18,21,21,21,19,42,83,4.5,1013,26,9,140,9,lawley-south-weather
2009-01-21,26,16,0.0,12.1,5,24,01:12 AM,03:31 PM,05:35 AM,07:05 PM,17,21,21,21,22,49,80,5.3,1013,26,8,257,11,lawley-south-weather
2009-01-22,22,15,0.0,8.6,4,17,01:58 AM,04:23 PM,05:36 AM,07:05 PM,17,19,19,19,19,61,88,14.6,1013,22,7,266,10,lawley-south-weather
2009-01-23,26,16,0.0,13.3,5,9,02:49 AM,05:13 PM,05:36 AM,07:05 PM,15,21,21,21,15,22,72,0.3,1010,26,8,272,8,lawley-south-weather
2009-01-24,26,16,0.0,13.3,5,2,03:43 AM,05:57 PM,05:37 AM,07:04 PM,16,20,21,20,14,27,74,1.0,1011,26,10,224,7,lawley-south-weather
2009-01-25,25,17,0.0,10.9,5,0,04:38 AM,06:37 PM,05:38 AM,07:04 PM,17,20,21,20,16,47,83,5.3,1015,25,7,246,8,lawley-south-weather
2009-01-26,25,16,0.0,12.1,5,0,05:34 AM,07:14 PM,05:39 AM,07:04 PM,17,20,21,20,14,39,81,2.6,1015,25,9,180,6,lawley-south-weather
2009-01-27,25,17,0.0,12.1,5,5,06:28 AM,07:47 PM,05:40 AM,07:03 PM,17,20,21,20,18,51,85,3.9,1014,25,8,175,8,lawley-south-weather
2009-01-28,20,17,0.0,8.5,4,12,07:23 AM,08:18 PM,05:40 AM,07:03 PM,17,18,18,18,20,72,93,31.9,1014,20,7,56,11,lawley-south-weather
2009-01-29,20,15,0.0,8.5,4,20,08:17 AM,08:48 PM,05:41 AM,07:03 PM,17,17,17,17,21,95,98,77.3,1013,20,6,171,9,lawley-south-weather
2009-01-30,23,17,0.0,9.7,4,27,09:12 AM,09:19 PM,05:42 AM,07:02 PM,18,19,20,19,12,83,92,9.2,1014,23,7,195,6,lawley-south-weather
2009-01-31,26,16,0.0,13.6,5,31,10:08 AM,09:52 PM,05:43 AM,07:02 PM,17,20,21,20,14,42,81,0.2,1013,26,7,55,6,lawley-south-weather
2009-02-01,25,16,0.0,13.6,6,43,11:06 AM,10:27 PM,05:44 AM,07:01 PM,17,20,21,20,17,33,81,0.0,1014,25,7,125,8,lawley-south-weather
2009-02-02,25,16,0.0,10.9,4,50,12:07 PM,11:07 PM,05:44 AM,07:01 PM,17,20,20,20,15,47,82,14.8,1014,25,9,176,7,lawley-south-weather
2009-02-03,24,17,0.0,10.9,5,58,01:12 PM,11:55 PM,05:45 AM,07:00 PM,18,20,21,20,14,57,86,11.0,1012,24,8,255,7,lawley-south-weather
